week_start,n_comments,mean_compound,median_compound,std_compound,aspect
2024-11-18,7,0.6509285714285714,0.7981,0.341625617278553,McLaren
2024-11-25,29,-0.20049310344827584,-0.4588,0.5973444710496583,McLaren
2024-12-02,57,0.43042456140350877,0.5789,0.4656894164572034,McLaren
2024-12-30,1,0.0,0.0,,McLaren
2025-02-24,2,0.4285,0.4285,0.13746155826266482,McLaren
2025-03-10,236,0.19621610169491527,0.1549,0.48812184073160125,McLaren
2025-03-17,91,0.27554175824175825,0.3071,0.4504465702847772,McLaren
2025-03-24,2,0.27115,0.27115,0.3834640074374647,McLaren
2025-03-31,173,0.2081057803468208,0.2311,0.4923942149064812,McLaren
2025-04-07,56,0.32145535714285717,0.52945,0.5808072591956954,McLaren
2025-04-14,21,0.1952952380952381,0.3284,0.5317634581994052,McLaren
2025-04-21,1,0.9484,0.9484,,McLaren
2025-04-28,60,0.24308166666666667,0.3506,0.534753068149665,McLaren
2025-05-05,72,0.2863819444444444,0.4404,0.5435142877027345,McLaren
2025-05-12,49,0.25987346938775513,0.25,0.4647280902023561,McLaren
2025-05-19,25,0.08377199999999999,0.0,0.5180205558340969,McLaren
2025-05-26,51,0.2542156862745098,0.3291,0.45166534264765057,McLaren
2025-06-09,73,0.13403835616438356,0.0,0.5118000530888062,McLaren
2025-06-16,11,0.0652090909090909,0.0,0.5941977944330414,McLaren
2025-06-23,35,0.07649714285714287,0.0,0.5506916754974465,McLaren
2025-06-30,46,-0.029406521739130435,0.0,0.4895110446613136,McLaren
2025-07-07,6,-0.13916666666666666,-0.46285,0.7540232189174725,McLaren
2025-07-21,30,0.1536,0.2828,0.5980537266834812,McLaren
2025-07-28,76,0.04388289473684211,0.0,0.49432469609577,McLaren
2025-08-25,61,0.24441147540983607,0.3291,0.5269350697187022,McLaren
2025-09-01,451,0.01626141906873614,0.0,0.5556488457224118,McLaren
2025-09-08,230,0.03265043478260869,0.0,0.5928793988977565,McLaren
2025-09-15,199,0.2417206030150754,0.2732,0.5113777587548461,McLaren
2025-09-22,12,0.40923333333333334,0.69085,0.6238346230930895,McLaren
2025-09-29,237,0.05857510548523207,0.0,0.5253253607758217,McLaren
2025-10-06,146,0.15894520547945204,0.3589,0.6680381515103803,McLaren
2025-10-13,385,0.17215038961038961,0.1027,0.5056585472555649,McLaren
2025-10-20,170,0.1875735294117647,0.3071,0.5694579861010076,McLaren
2025-10-27,4,0.026749999999999968,-0.0129,0.6687299679242735,McLaren
2025-11-03,27,0.18452592592592593,0.2023,0.49667805823567795,McLaren
2025-11-17,247,0.07238299595141699,0.0,0.5031628097587512,McLaren
2025-11-24,727,0.07800660247592847,0.0,0.5314111334868822,McLaren
2025-12-01,305,0.2912059016393443,0.3612,0.5293194194999772,McLaren
2025-12-08,61,0.441772131147541,0.7551,0.5634637592993146,McLaren
2025-12-15,19,0.2776473684210526,0.2746,0.6961322187378718,McLaren
2025-12-29,12,0.09805833333333332,0.0,0.4483017560412818,McLaren
2024-02-26,212,0.24373490566037734,0.29105000000000003,0.47049594083243845,Verstappen
2024-03-04,185,0.3021032432432432,0.3626,0.4891989184751437,Verstappen
2024-03-11,134,0.4550373134328358,0.6394500000000001,0.5071648688159986,Verstappen
2024-03-18,127,0.20583858267716537,0.2023,0.48008502538071374,Verstappen
2024-03-25,2,0.607,0.607,0.08075159441150366,Verstappen
2024-04-15,120,0.31683,0.52865,0.5602499503110457,Verstappen
2024-04-22,2,-0.30645,-0.30645,0.433385746189235,Verstappen
2024-04-29,290,0.3119648275862069,0.4215,0.4587260914684435,Verstappen
2024-05-06,47,0.2439255319148936,0.2732,0.5408940049134778,Verstappen
2024-05-13,183,0.2938185792349727,0.4215,0.4907375608295734,Verstappen
2024-05-20,28,0.25241071428571427,0.38075000000000003,0.6445640567191796,Verstappen
2024-05-27,20,0.09478,0.0,0.4630329220988162,Verstappen
2024-06-03,200,0.40236199999999994,0.55565,0.435188482767718,Verstappen
2024-06-10,23,0.631813043478261,0.7932,0.37998600010616157,Verstappen
